country,allocKey,iso3,admin1,admin2,year,value
Ethiopia,9582615,ETH,Amhara,East Gojam,2005,461.7
Ethiopia,9582616,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9582617,ETH,Amhara,East Gojam,2005,450.3
Ethiopia,9582618,ETH,Amhara,East Gojam,2005,450.5
Ethiopia,9582619,ETH,Amhara,East Gojam,2005,481.2
Ethiopia,9582620,ETH,Amhara,East Gojam,2005,215.0
Ethiopia,9582621,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9592612,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9592613,ETH,Amhara,East Gojam,2005,355.6
Ethiopia,9592614,ETH,Amhara,East Gojam,2005,346.9
Ethiopia,9592615,ETH,Amhara,East Gojam,2005,4523.8
Ethiopia,9592616,ETH,Amhara,East Gojam,2005,8.5
Ethiopia,9592617,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9592618,ETH,Amhara,East Gojam,2005,376.1
Ethiopia,9592619,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9592620,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9602613,ETH,Amhara,East Gojam,2005,1659.6
Ethiopia,9602614,ETH,Amhara,East Gojam,2005,1773.6
Ethiopia,9602615,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9602616,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9602617,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9602618,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9612613,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9612614,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9612616,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9162598,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9172598,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9182597,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9182598,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9182600,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9182621,ETH,Amhara,North Gonder,2005,22.3
Ethiopia,9182622,ETH,Amhara,North Gonder,2005,23.1
Ethiopia,9192598,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9192600,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9192615,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9192616,ETH,Amhara,North Gonder,2005,0.0
