country,allocKey,iso3,admin1,admin2,year,value,rowCol,row,col,x,y,percentage
Ethiopia,9642643,ETH,Afar,Afar Zone 5,2005,0.0,2643 - 964,2643,964,40.2083333325,9.7083333329,0.0
Ethiopia,9442600,ETH,Amhara,Awi,2005,0.0,2600 - 944,2600,944,36.6249999991,11.3749999996,0.0
Ethiopia,9442601,ETH,Amhara,Awi,2005,0.0,2601 - 944,2601,944,36.7083333325,11.3749999996,0.0
Ethiopia,9442602,ETH,Amhara,Awi,2005,14.7,2602 - 944,2602,944,36.7916666658,11.3749999996,1.1145783512186528E-5
Ethiopia,9452599,ETH,Amhara,Awi,2005,0.0,2599 - 945,2599,945,36.5416666658,11.2916666663,0.0
Ethiopia,9452600,ETH,Amhara,Awi,2005,0.0,2600 - 945,2600,945,36.6249999991,11.2916666663,0.0
Ethiopia,9452601,ETH,Amhara,Awi,2005,13.0,2601 - 945,2601,945,36.7083333325,11.2916666663,9.856815350913256E-6
Ethiopia,9452602,ETH,Amhara,Awi,2005,14.9,2602 - 945,2602,945,36.7916666658,11.2916666663,1.1297426825277501E-5
Ethiopia,9452603,ETH,Amhara,Awi,2005,15.6,2603 - 945,2603,945,36.8749999991,11.2916666663,1.1828178421095907E-5
Ethiopia,9462600,ETH,Amhara,Awi,2005,13.0,2600 - 946,2600,946,36.6249999991,11.2083333329,9.856815350913256E-6
Ethiopia,9462601,ETH,Amhara,Awi,2005,15.2,2601 - 946,2601,946,36.7083333325,11.2083333329,1.152489179491396E-5
Ethiopia,9462602,ETH,Amhara,Awi,2005,1272.7,2602 - 946,2602,946,36.7916666658,11.2083333329,9.649822228544079E-4
Ethiopia,9462603,ETH,Amhara,Awi,2005,15.9,2603 - 946,2603,946,36.8749999991,11.2083333329,1.2055643390732368E-5
Ethiopia,9462604,ETH,Amhara,Awi,2005,16.7,2604 - 946,2604,946,36.9583333325,11.2083333329,1.266221664309626E-5
Ethiopia,9472599,ETH,Amhara,Awi,2005,7.9,2599 - 947,2599,947,36.5416666658,11.1249999996,5.98991086709344E-6
Ethiopia,9472600,ETH,Amhara,Awi,2005,16.9,2600 - 947,2600,947,36.6249999991,11.1249999996,1.2813859956187233E-5
Ethiopia,9472601,ETH,Amhara,Awi,2005,16.6,2601 - 947,2601,947,36.7083333325,11.1249999996,1.2586394986550774E-5
Ethiopia,9472602,ETH,Amhara,Awi,2005,23.3,2602 - 947,2602,947,36.7916666658,11.1249999996,1.7666445975098376E-5
Ethiopia,9472603,ETH,Amhara,Awi,2005,24.1,2603 - 947,2603,947,36.8749999991,11.1249999996,1.827301922746227E-5
Ethiopia,9472604,ETH,Amhara,Awi,2005,26.1,2604 - 947,2604,947,36.9583333325,11.1249999996,1.9789452358372E-5
