country,allocKey,iso3,admin1,admin2,year,value,rowCol,row,col,x,y,percentage
Ethiopia,9602646,ETH,Afar,Afar Zone 3,2014,0.0,2646 - 960,2646,960,40.4583333325,10.0416666663,0.0
Ethiopia,9602647,ETH,Afar,Afar Zone 3,2014,0.0,2647 - 960,2647,960,40.5416666658,10.0416666663,0.0
Ethiopia,9612646,ETH,Afar,Afar Zone 3,2014,0.0,2646 - 961,2646,961,40.4583333325,9.9583333329,0.0
Ethiopia,9612647,ETH,Afar,Afar Zone 3,2014,0.0,2647 - 961,2647,961,40.5416666658,9.9583333329,0.0
Ethiopia,9642639,ETH,Afar,Afar Zone 3,2014,20.815654882262645,2639 - 964,2639,964,39.8749999991,9.7083333329,1.2510573330005286E-5
Ethiopia,9642644,ETH,Afar,Afar Zone 3,2014,0.0,2644 - 964,2644,964,40.2916666658,9.7083333329,0.0
Ethiopia,9652643,ETH,Afar,Afar Zone 3,2014,0.0,2643 - 965,2643,965,40.2083333325,9.6249999996,0.0
Ethiopia,9652644,ETH,Afar,Afar Zone 3,2014,0.0,2644 - 965,2644,965,40.2916666658,9.6249999996,0.0
Ethiopia,9662643,ETH,Afar,Afar Zone 3,2014,0.0,2643 - 966,2643,966,40.2083333325,9.5416666663,0.0
Ethiopia,9672639,ETH,Afar,Afar Zone 3,2014,13.24632583416714,2639 - 967,2639,967,39.8749999991,9.4583333329,7.961273937276092E-6
Ethiopia,9672642,ETH,Afar,Afar Zone 3,2014,0.0,2642 - 967,2642,967,40.1249999991,9.4583333329,0.0
Ethiopia,9672643,ETH,Afar,Afar Zone 3,2014,0.0,2643 - 967,2643,967,40.2083333325,9.4583333329,0.0
Ethiopia,9672644,ETH,Afar,Afar Zone 3,2014,0.0,2644 - 967,2644,967,40.2916666658,9.4583333329,0.0
Ethiopia,9682642,ETH,Afar,Afar Zone 3,2014,0.0,2642 - 968,2642,968,40.1249999991,9.3749999996,0.0
Ethiopia,9682643,ETH,Afar,Afar Zone 3,2014,0.0,2643 - 968,2643,968,40.2083333325,9.3749999996,0.0
Ethiopia,9682644,ETH,Afar,Afar Zone 3,2014,0.0,2644 - 968,2644,968,40.2916666658,9.3749999996,0.0
Ethiopia,9692641,ETH,Afar,Afar Zone 3,2014,0.0,2641 - 969,2641,969,40.0416666658,9.2916666663,0.0
Ethiopia,9692642,ETH,Afar,Afar Zone 3,2014,0.0,2642 - 969,2642,969,40.1249999991,9.2916666663,0.0
Ethiopia,9692643,ETH,Afar,Afar Zone 3,2014,0.0,2643 - 969,2643,969,40.2083333325,9.2916666663,0.0
Ethiopia,9702640,ETH,Afar,Afar Zone 3,2014,0.0,2640 - 970,2640,970,39.9583333325,9.2083333329,0.0
Ethiopia,9702641,ETH,Afar,Afar Zone 3,2014,0.0,2641 - 970,2641,970,40.0416666658,9.2083333329,0.0
Ethiopia,9702642,ETH,Afar,Afar Zone 3,2014,0.0,2642 - 970,2642,970,40.1249999991,9.2083333329,0.0
Ethiopia,9712640,ETH,Afar,Afar Zone 3,2014,0.0,2640 - 971,2640,971,39.9583333325,9.1249999996,0.0
Ethiopia,9712641,ETH,Afar,Afar Zone 3,2014,0.0,2641 - 971,2641,971,40.0416666658,9.1249999996,0.0
Ethiopia,9712642,ETH,Afar,Afar Zone 3,2014,0.0,2642 - 971,2642,971,40.1249999991,9.1249999996,0.0
Ethiopia,9712643,ETH,Afar,Afar Zone 3,2014,0.0,2643 - 971,2643,971,40.2083333325,9.1249999996,0.0
Ethiopia,9532645,ETH,Afar,Afar Zone 5,2014,0.0,2645 - 953,2645,953,40.3749999991,10.6249999996,0.0
Ethiopia,9542645,ETH,Afar,Afar Zone 5,2014,0.0,2645 - 954,2645,954,40.3749999991,10.5416666663,0.0
Ethiopia,9642643,ETH,Afar,Afar Zone 5,2014,0.0,2643 - 964,2643,964,40.2083333325,9.7083333329,0.0
Ethiopia,9442600,ETH,Amhara,Awi,2014,0.0,2600 - 944,2600,944,36.6249999991,11.3749999996,0.0
Ethiopia,9442601,ETH,Amhara,Awi,2014,0.0,2601 - 944,2601,944,36.7083333325,11.3749999996,0.0
Ethiopia,9442602,ETH,Amhara,Awi,2014,18.544856167833995,2602 - 944,2602,944,36.7916666658,11.3749999996,1.1145783512186528E-5
Ethiopia,9452599,ETH,Amhara,Awi,2014,0.0,2599 - 945,2599,945,36.5416666658,11.2916666663,0.0
Ethiopia,9452600,ETH,Amhara,Awi,2014,0.0,2600 - 945,2600,945,36.6249999991,11.2916666663,0.0
Ethiopia,9452601,ETH,Amhara,Awi,2014,16.400212937540267,2601 - 945,2601,945,36.7083333325,11.2916666663,9.856815350913256E-6
Ethiopia,9452602,ETH,Amhara,Awi,2014,18.797167136103845,2602 - 945,2602,945,36.7916666658,11.2916666663,1.1297426825277501E-5
Ethiopia,9452603,ETH,Amhara,Awi,2014,19.68025552504832,2603 - 945,2603,945,36.8749999991,11.2916666663,1.1828178421095907E-5
Ethiopia,9462600,ETH,Amhara,Awi,2014,16.400212937540267,2600 - 946,2600,946,36.6249999991,11.2083333329,9.856815350913256E-6
Ethiopia,9462601,ETH,Amhara,Awi,2014,19.175633588508617,2601 - 946,2601,946,36.7083333325,11.2083333329,1.152489179491396E-5
Ethiopia,9462602,ETH,Amhara,Awi,2014,1605.5808465851921,2602 - 946,2602,946,36.7916666658,11.2083333329,9.649822228544079E-4
Ethiopia,9462603,ETH,Amhara,Awi,2014,20.058721977453096,2603 - 946,2603,946,36.8749999991,11.2083333329,1.2055643390732368E-5
Ethiopia,9462604,ETH,Amhara,Awi,2014,21.067965850532495,2604 - 946,2604,946,36.9583333325,11.2083333329,1.266221664309626E-5
Ethiopia,9472599,ETH,Amhara,Awi,2014,9.966283246659085,2599 - 947,2599,947,36.5416666658,11.1249999996,5.98991086709344E-6
Ethiopia,9472600,ETH,Amhara,Awi,2014,21.320276818802345,2600 - 947,2600,947,36.6249999991,11.1249999996,1.2813859956187233E-5
Ethiopia,9472601,ETH,Amhara,Awi,2014,20.941810366397572,2601 - 947,2601,947,36.7083333325,11.1249999996,1.2586394986550774E-5
Ethiopia,9472602,ETH,Amhara,Awi,2014,29.39422780343756,2602 - 947,2602,947,36.7916666658,11.1249999996,1.7666445975098376E-5
Ethiopia,9472603,ETH,Amhara,Awi,2014,30.40347167651696,2603 - 947,2603,947,36.8749999991,11.1249999996,1.827301922746227E-5
Ethiopia,9472604,ETH,Amhara,Awi,2014,32.92658135921546,2604 - 947,2604,947,36.9583333325,11.1249999996,1.9789452358372E-5
Ethiopia,9472605,ETH,Amhara,Awi,2014,1951.7514950514267,2605 - 947,2605,947,37.0416666658,11.1249999996,0.001173036848415223
Ethiopia,9482598,ETH,Amhara,Awi,2014,226.8275604745954,2598 - 948,2598,948,36.4583333325,11.0416666663,1.363273384687849E-4
Ethiopia,9482599,ETH,Amhara,Awi,2014,12.867859381762363,2599 - 948,2599,948,36.5416666658,11.0416666663,7.733808967639631E-6
Ethiopia,9482600,ETH,Amhara,Awi,2014,27.754206509683527,2600 - 948,2600,948,36.6249999991,11.0416666663,1.668076444000705E-5
Ethiopia,9482601,ETH,Amhara,Awi,2014,32.421959422675755,2601 - 948,2601,948,36.7083333325,11.0416666663,1.9486165732190053E-5
Ethiopia,9482602,ETH,Amhara,Awi,2014,34.31429168469963,2602 - 948,2602,948,36.7916666658,11.0416666663,2.062349058037235E-5
Ethiopia,9482603,ETH,Amhara,Awi,2014,37.72048975634261,2603 - 948,2603,948,36.8749999991,11.0416666663,2.2670675307100487E-5
Ethiopia,9482604,ETH,Amhara,Awi,2014,0.0,2604 - 948,2604,948,36.9583333325,11.0416666663,0.0
Ethiopia,9482605,ETH,Amhara,Awi,2014,38.351267177017235,2605 - 948,2605,948,37.0416666658,11.0416666663,2.304978358982792E-5
Ethiopia,9492598,ETH,Amhara,Awi,2014,1.009243873079401,2598 - 949,2598,949,36.4583333325,10.9583333329,6.065732523638928E-7
Ethiopia,9492599,ETH,Amhara,Awi,2014,12.99401486589729,2599 - 949,2599,949,36.5416666658,10.9583333329,7.809630624185119E-6
Ethiopia,9492600,ETH,Amhara,Awi,2014,22.83414262842145,2600 - 949,2600,949,36.6249999991,10.9583333329,1.3723719834733072E-5
Ethiopia,9492601,ETH,Amhara,Awi,2014,30.40347167651696,2601 - 949,2601,949,36.7083333325,10.9583333329,1.827301922746227E-5
Ethiopia,9492602,ETH,Amhara,Awi,2014,32.54811490681068,2602 - 949,2602,949,36.7916666658,10.9583333329,1.956198738873554E-5
Ethiopia,9492603,ETH,Amhara,Awi,2014,37.846645240477535,2603 - 949,2603,949,36.8749999991,10.9583333329,2.2746496963645974E-5
